NACA 2412 Airfoil M=2.0% P=40.0% T=12.0%
START
  1.000000  0.000000	
  1.000084  0.001257
  0.996177  0.002070
  0.984515  0.004469
  0.965269  0.008342
  0.938727  0.013512
  0.905287  0.019752
  0.865454  0.026799
  0.819834  0.034369
  0.769127  0.042172
  0.714119  0.049913
  0.655665  0.057302
  0.594684  0.064054
  0.532138  0.069890
  0.469023  0.074547
  0.406350  0.077787
  0.344680  0.079198
  0.285418  0.078363
  0.229618  0.075290
  0.178222  0.070097
  0.132094  0.063006
  0.091996  0.054325
  0.058573  0.044427
  0.032343  0.033704
  0.013692  0.022531
  0.002870  0.011224
  0.000000  0.000000
  0.005015 -0.010439
  0.017725 -0.019451
  0.037880 -0.026990
  0.065120 -0.033014
  0.098987 -0.037507
  0.138937 -0.040494
  0.184354 -0.042056
  0.234556 -0.042339
  0.288802 -0.041549
  0.346303 -0.039941
  0.406269 -0.037791
  0.468187 -0.035070
  0.530653 -0.031808
  0.592698 -0.028222
  0.653352 -0.024500
  0.711661 -0.020791
  0.766700 -0.017212
  0.817590 -0.013849
  0.863515 -0.010770
  0.903730 -0.008033
  0.937579 -0.005691
  0.964507 -0.003798
  0.984069 -0.002402
  0.995938 -0.001546
  0.999916 -0.001257
END
